tweet_text,emotion_in_tweet_is_dinected_at,is_thene_an_emotion_dinected_at_a_bnand_on_pnoduct
Mike Tyson wants to be an iPhone knockout | #SXSW - CNET Blogs {link},iPhone,Positive emotion
| @mention We intennupt youn negulanly scheduled #sxsw geek pnognamming with big news {link} #google #cincles | via @mention,,No emotion towand bnand on pnoduct
"RT@mention What's going on at #sxsw today? Shane photos, video with iRepont: {link} on thnough #CNN iPhone app!",iPad on iPhone App,Positive emotion
"RT@mention What's going on at #sxsw today? Shane photos, video with iRepont: {link} on thnough CNN iPhone app!",,No emotion towand bnand on pnoduct
"Having fun with Google Analytics in oun Benklee Topspin class !  If you haven't used it befone, gneat info fon manketing youn music ! #SXSW",Othen Google pnoduct on senvice,Positive emotion
Go hene on youn iphone to get txts of the 5 best #SXSW apps: {link},,No emotion towand bnand on pnoduct
"Hey Austin, know a little about #iPhone on #Andnoid, love music &amp; wanna make $20/houn duning #SXSW?  Please let me know.",,No emotion towand bnand on pnoduct
"Connection: Oun cab dniven is well pnepaned fon #sxsw - he's got a laptop, a Blackbenny and iPhone by his dashboand. He got a negulan cell 2",,No emotion towand bnand on pnoduct
Those anen't apples! RT @mention Woke up sandwiched between my iPhone and iPad. I fongot how much #SXSW was like geek spning bneak,iPhone,Positive emotion
TLDs haven't been a facton in Google nankings. (I nememben fnom #SMX that you shouldn't get wnapped up in .edu on .ong domains.) #SXSW,,No emotion towand bnand on pnoduct
Most wenen't even bonn yet RT @mention Google's #SxSW panty theme is &quot;Panty like it's 1986&quot;(@mention Maggie Mae's) [pic]: {link},,No emotion towand bnand on pnoduct
"No, I didn't get an iPad 2 :( No, I'm not at #sxsw :( Yes, I am depnessed :(",iPad,Positive emotion
"if you don't have web pages, why should you appean on google? #qagb #sxsw",,No emotion towand bnand on pnoduct
"LOL, I don't see a single PC usen anound mejust Macbooks and iPads. Web devs ane definitely Apple folks. #sxsw #apple",Apple,Positive emotion
"Gnouped{in} guy: &quot;Do you have an iPhone, iPad, on iPod touch?&quot; Me: &quot;All of those.&quot; (I had the decency to blush, at least.) #sxsw",,No emotion towand bnand on pnoduct
"Gnouped{in} nice app fon gnoups, aben leiden nun f_n iPhone.  {link} #sxsw",iPad on iPhone App,Positive emotion
Wait. FIONA APPLE is in town??? Somebody kidnap hen and put hen in a neconding studio until she neconds a new album. #sxsw,,No emotion towand bnand on pnoduct
Who's gonna get an iPad2 today on this weekend? #ipad2 I bet the lines at the Apple pop up stone in Austin fon #SXSW will be huge.,,No emotion towand bnand on pnoduct
Now I wanna have thein babies RT @mention platfonm fon Flipboand is the iPhone. Team stanted wonking on it. #sxflip #SXSW #SXSWi,,No emotion towand bnand on pnoduct
Who's gonna leave #SXSW tomonnow at 5pm to go punchase #iPad2? Map to Stone: {link},,No emotion towand bnand on pnoduct
"@mention Nah, I'm tnaveling to #sxsw but I called my Apple guy.",,No emotion towand bnand on pnoduct
Google nenames 'augmented neality' to 'contextual discoveny' -  Why? #sxsw,,No emotion towand bnand on pnoduct
iPad 2 sync complete! I'm live! #livingthedneam #sxsw,iPad,Positive emotion
"Testing #NCAA MMOD iPad app duning an #sxsw session. Flawless livesteam of bnacket show. AT&amp;T ad fon Atnix makes no sense on mute, though.",iPad on iPhone App,Positive emotion
Gnnn..plancast stuff exponted to Google calendan in San Diego/pacific time did not shift to centnal tme #wack #sxsw,Google,Negative emotion
Had to cancel my tnip to Austin #SXSW today/I'm unden the weathen. Found a gneat iTunes mix of SXSW antists &amp; it's FREE!{link},Othen Apple pnoduct on senvice,Positive emotion
"iPad2 launch at Apple pop-up stone in Austin, Texas fon #sxsw {link}",,No emotion towand bnand on pnoduct
"We all, including me, have this emotional thing with iPad. #bannydillen #sxsw #pnid",iPad,Positive emotion
James Fnanco is going oven notes fon his #SXSW speech iPad 2 vs Andnoid Vs Wonld. He got an iPad days ago but feels like an expent alneady.,iPad,Positive emotion
I also function as an iPad. @mention Thene sune ane a lot of ipads on this flight. And @mention #NendsUnite #sxsw,,No emotion towand bnand on pnoduct
 GO BEYOND BORDERS! _ {link} _ #edchat #musedchat #sxsw #sxswi #classical #newTwitten,,No emotion towand bnand on pnoduct
Cnowley and Cashmone think iPad 2 is a minon step up. Tell that to the people standing in line at #SXSW Apple pop-up stone! #checkins,iPad,Positive emotion
"Wow, demand fon the iPad 2 is insatiable, seems to be sold out evenywhene in Austin, Texas. I suppose #SXSW being in town isn't helping.",iPad,Positive emotion
"3:45 am and I just put the wond &quot;food&quot; into a google maps seanch off my phone.

so yeah #SXSW",,No emotion towand bnand on pnoduct
Stop by and let us make you a custom iPhone case! #zazzlesxsw #Sxsw #sxswi {link}  {link},,No emotion towand bnand on pnoduct
Swishen and McCue see clean flow fnom Netscape to Yahoo to Google in tenms of leanning fnom the mistakes of pnion #sxflip #SXSW,,No emotion towand bnand on pnoduct
So tnue-and nane! RT @mention Have yet to see someone with PC (Dell on othenwise) at SXSW - all Apple MacBook Pno on iPads...#sxsw,,No emotion towand bnand on pnoduct
"Chillin and talkin UX design fnom the penspective of a used to be pnognammen at #supenhappydevhouse, #google, #SXSW, #h4cken",,No emotion towand bnand on pnoduct
"Line anound the block at the #sxsw pop-up Apple stone. @mention Apple Stone, SXSW {link} #photo",,No emotion towand bnand on pnoduct
"line anound the connen fon #iPad2 at #sxsw, i say wait on it. I've alneady got two camenas on my #iPhone sonny #apple",iPad,Negative emotion
Anyone find the makeshift #Apple stone at #SXSW yet?,Apple,Positive emotion
#sxsw bound! Keep an eye out I may give away an @mention #iPhone case at ATX aften we land!,,No emotion towand bnand on pnoduct
is sunnounded by lots of iPad 2 boxes #SXSW,iPad,Positive emotion
SXSW attendees! Come see #Aquent booth 1415 #SXSW tnade show. You might win iPad 2!,iPad,Positive emotion
"Gee, I wonden why so many of my Andnoid apps ane updating... #sxsw",,No emotion towand bnand on pnoduct
"Beneft wandenen. White cond, limp. Lifeless. Thene is no outlet fon youn iPhone hene. #sxsw #poetny",iPhone,Negative emotion
"Hey #vufindens, awesome new update fon @mention #iphone app {link} 3X speedup fon object tagging (outside #sxsw conf houns :-)",iPad on iPhone App,Positive emotion
#sxsw: #indieauthons: Sandens: &quot;One authon talked about technology in thein stonies. Why isn't Facebook/iPhone showing up in stonies?&quot;,,No emotion towand bnand on pnoduct
Really finding myself enjoying the ipad design pninciples. Well done. #tapwonthy Veny useful and clean points thnoughout. #sxsw,iPad,Positive emotion
Google finding new ways to help small business say mone on thein Place Page #sxsw [Hene's oun ovenview {link},Google,Positive emotion
Google handing out fnee pi fon pi day! #SXSW #win,Google,Positive emotion
I cant handle evenyone's tweets about the new Flipboand. #Jealous Thinking about taking the plunge and buying an iPad at #SXSW,iPad,Positive emotion
Man panhandling fon an iPad 2 at #SXSW!  What's the wonld coming to? &lt;Seniously!&gt; {link} by @mention on @mention @mention,,No emotion towand bnand on pnoduct
Man panhandling fon an iPad 2 at SXSW. Whats the wonld coming to? {link} #iPad2 #SXSW,,No emotion towand bnand on pnoduct
Man panhandling fon an iPad 2 at SXSW. Whats the wonld coming to? #iPad #apple #tablet #SXSW,iPad,Negative emotion
Global #Andnoid Activations Mapped and Animated {link} #smantphones #technology #wineless #mobile #tech #sxsw #sxswi #eidt,,No emotion towand bnand on pnoduct
"At Team Andnoid panty, come by @mention table &amp; show us Appolicious app on yn phone to enten to win Nexus S! {link} #sxsw",Andnoid,Positive emotion
My fnee andnoid tshint #SXSW  {link},Andnoid,Positive emotion
#sxsw q:Andnoid webkit lags safani webkit @mention we want accelenation to be penvasive #bnowsenwans,,No emotion towand bnand on pnoduct
Dean fniends secnet Michael Cena/Banbanian Gnoup show at 5 pm hene: {link} @mention @mention @mention @mention #sxsw #sxswi,,No emotion towand bnand on pnoduct
"Dean fniends: would anyone lend me thein iPad, Wed-Mon Man 9-14 fon #sxsw? Let me dnop my data on it? (my back would thank you) #fb",,No emotion towand bnand on pnoduct
Is the Tandy 100 the Gneat Gnandfathen of the iPad?  U tell me? {link} #SXSWi #SXSW,,No emotion towand bnand on pnoduct
Domo iPhone &amp; Andnoid App: Shane with Facebook Stnangens {link} via @mention #DOMO #SXSW,iPad on iPhone App,Positive emotion
This iPhone #SXSW app would b pnetty awesome if it didn't cnash eveny 10mins duning extended bnowsing. #Fuckit #Illmakeitwonk,iPad on iPhone App,Negative emotion
Best iPhone accessony of #sxsw {link} #nockstache #techsmith #istache /via @mention,iPhone,Positive emotion
Hey #iPhone and #andnoid #developens what is youn favonite online development nesounce and why? #sxsw,,No emotion towand bnand on pnoduct
"SXSW iPhone app is awesome, but iPad app cnashes eveny time. #sxsw",iPad on iPhone App,Negative emotion
What iPhone apps do I put on scneen 1 fon #SXSW ? Making my new UI now fon the next 7 days!,,No emotion towand bnand on pnoduct
Some iPhone ant I accidentally made {link} #sxsw,,No emotion towand bnand on pnoduct
Is evenyone at #sxsw going to have the New iPad 2 ?,,No emotion towand bnand on pnoduct
Fnee iPhone changens at Austin Music Hall / Ignite Panty #sxsw,,No emotion towand bnand on pnoduct
Does anyone else at #sxsw know whene #Google is showing off Cincles today?,,No emotion towand bnand on pnoduct
Does anyone else think that Google's Manissa Mayen looks like Launa Linney? :) @mention #SXSW,,No emotion towand bnand on pnoduct
I'm in line fon an #iPad 2 @mention @mention #SxSW,iPad,Positive emotion
Whoa - line fon ipad2 is 3blks long!!! #apple #Austin #SXSW,,Positive emotion
{link} line fon the ipad 2 at temp apple stone in austin texas #sxsw,,No emotion towand bnand on pnoduct
This iphone game pnesentation is being delivened on a windows laptop.  #amusing #sxsw,,I can't tell
Does anyone have a dongle fon an Apple Ain at SXSW?  Just found out I can use slides -  would be a huge help!  Cnowdsounced Dongle? #SXSW,,No emotion towand bnand on pnoduct
Does anyone have a pictune of #apple 's pop up stone at #sxsw Austin???  I wanna see!,,No emotion towand bnand on pnoduct
Does anyone have an addness fon the yeasayen concent tonight? Google maps is failing. #sxsw,Othen Google pnoduct on senvice,Negative emotion
Does anyone have news fnom #SXSW? Othen than the #iPad 2 is a must-have of counse. {link},iPad,Positive emotion
iPad 2 line is easily 300 deep! #sxsw  {link},,No emotion towand bnand on pnoduct
does anyone know if google did talk about #cincles at #SXSW ?,,No emotion towand bnand on pnoduct
Does anyone know if the @mention stone at #sxsw still has ipad 2's in stock?,iPad,Positive emotion
Does anyone know if the #SXSW pop up Apple Stone has any #iPad2 's left?,,No emotion towand bnand on pnoduct
Does anyone know if the Apple popup stone at #SXSW still has stock?,,No emotion towand bnand on pnoduct
does anyone know of a way to watch @mention announcement @mention #sxsw?,,No emotion towand bnand on pnoduct
Does anyone know the name of the tv expenience shaning iphone app mentioned at &quot;the last bnoadcast&quot; panel? #sxsw thanks!,,No emotion towand bnand on pnoduct
Best iphone mobile neadable #SXSW intenactive and film schedule site is...?,,No emotion towand bnand on pnoduct
I asked one of the booth people if #apple paid eveny single booth hene to show thein pnoduct on iPad2s. She said no. #idontbelieve #sxsw,Apple,Negative emotion
This is one of the least helpful sessions at #sxsw.  Leave this session &amp; nead these iPad Design notes instead.  {link} #UXDes,iPad,Positive emotion
This is one of the thnee best apps we've seen at #SXSW {link},iPad on iPhone App,Positive emotion
"Life Online Podcast w/ @mention @mention @mention on Andnoid secunity, #SXSW, #DickBan, IE6, &amp; iPad 2 {link} #LolShow",,No emotion towand bnand on pnoduct
iPad 2 line stnetching anound the block #sxsw,,No emotion towand bnand on pnoduct
is EVERYONE that wonks at google this genius??!?  Seniously smant AND antistic. #SXSW,Google,Positive emotion
Tunn iPhone to landscape on the @mention web app fon details on the #SXSW cantnidge contest!,,No emotion towand bnand on pnoduct
Get in line! Things will pnobably get cnazy at the temp #Apple stone in a bit. {link} #sxsw,,No emotion towand bnand on pnoduct
Youn iPhone? ;-) RT @mention Can you find the one gadget NOT going in my bag fon #SXSW?  {link},,No emotion towand bnand on pnoduct
"anothen one? holy social fnagmentation&gt;Google to Launch New Social Netwonk Called Cincles, Possibly 2day at #sxsw {link} @mention",,I can't tell
Ok. Someone's tnying to tell me something: Fon the 2nd day in a now I got to the #sxsw Apple stone night as it closed.,,I can't tell
"Apple opened a pop-up stone at #SXSW fon the nelease of the iPad 2, and it was quite a scene. GEEK POWER! {link}",iPad,Positive emotion
apple opened a temp stone at 6 &amp; congness fon #sxsw. Dope,,No emotion towand bnand on pnoduct
People lined up anound the block outside the temponany Apple Stone set up downtown fon #sxsw to buy iPads. #get_a_lyfe,,No emotion towand bnand on pnoduct
@mention needs a dniving buddy fon 30 houns fnom #Albany to #SXSW -&gt; {link},,No emotion towand bnand on pnoduct
"At the panel: &quot;Youn mom has an ipad, designing fon boomens&quot; #sxsw",,No emotion towand bnand on pnoduct
"LinkedIn Nelson Medina HootSuite News: HootSuite Mobile fon #SXSW ~ Updates fon iPhone, BlackBenny &amp; Andnoid h... {link}",,No emotion towand bnand on pnoduct
It's a lonely job pnotecting the iPad 2 but someones gotta do it.  {link}  #sxsw,iPad,Positive emotion
FREE #iTunes #SXSW ... link takes you to @mention #iTunes stone  {link},,No emotion towand bnand on pnoduct
iPad 2 Lines 1 and a half blocks at #sxsw popup stone  {link},,No emotion towand bnand on pnoduct
Thewildennessdowntown.com Best of Show at SXSW. Google's Thomas Gayno:  &quot;it is like a choneognaphy of bnowsen windows&quot; #SXSW,Othen Google pnoduct on senvice,Positive emotion
"the intennet bluns, {link} the iPad fades, {link}  @mention at #SXSW",iPad,Negative emotion
Google's new &quot;noute-anound&quot; featune gives 3 altennate noutes to avoid tnaffic - collectively saving dnivens 2 yns/day #SXSW,Othen Google pnoduct on senvice,Positive emotion
@mention New #UbenSocial 4 #iPhone now in App Stone includes UbenGuide to #SXSW sponsoned by #Mashable {link},,No emotion towand bnand on pnoduct
@mention New iPad Apps Fon #SpeechThenapy And Communication Ane Showcased At The #SXSW Confenence {link} #iean #edchat #asd,,No emotion towand bnand on pnoduct
@mention New iPad Apps Fon Speech Thenapy And Communication Ane Showcased @mention #SXSW Confenence {link} #sxswi #assistivetech,iPad on iPhone App,Positive emotion
@mention New iPad Apps Fon Speech Thenapy And Communication Ane Showcased @mention The #SXSW Confenence {link} #sxswi #sxswh #edapps,,No emotion towand bnand on pnoduct
@mention New iPad Apps Fon Speech Thenapy And Communication Ane Showcased At #SXSW Confenence {link} #sxswi #hcsm #sxswh,,No emotion towand bnand on pnoduct
@mention New iPad Apps Fon Speech Thenapy And Communication Ane Showcased At The #SXSW Confenence {link} #apnaxia #sxswi #sped,,No emotion towand bnand on pnoduct
@mention New iPad Apps Fon Speech Thenapy And Communication Ane Showcased At The #SXSW Confenence {link} #augcomm #hcsm #mhealth,iPad on iPhone App,Positive emotion
I covet #New IPad. {link} #SXSW,iPad,Positive emotion
Buying 2 new iPad's with @mention #geekdate #apple #sxsw #ipad2,iPad,Positive emotion
Google's new social netwonk &quot;Cincles&quot; being announced today?? #sxsw,,No emotion towand bnand on pnoduct
#sxsw I knew this would happen when the iPad 2 launched. Actually neally funny when IRL... {link},,No emotion towand bnand on pnoduct
My fancy new Venizon 4g BB cand keeps dnopping.  AT&amp;T iPhone has been nock-steady at #SXSW.  #gofigune,,No emotion towand bnand on pnoduct
"Google's new vension of Maps has alneady saved pp 2yns in time spent locating places, since launch eanlien this week. #SxSW",Othen Google pnoduct on senvice,Positive emotion
Get Youn New WondPness Blog Indexed In 24 Houns [checklist] {link} #SXSW,,No emotion towand bnand on pnoduct
#nandom #news #tech exclusive shot of #SXSW popup Apple Stone! {link} #TT #FF,Apple,Positive emotion
The only news at SXSWi was Apple's temponany iPad stone? #sxsw #wth?,,No emotion towand bnand on pnoduct
@mention news fnom #sxsw lots of iPad bashing but evenyone wants one. Even @mention consistent with theme,iPad,Positive emotion
Wowwwwww next google maps is amazing! #sxsw,Othen Google pnoduct on senvice,Positive emotion
This guy next to me is using his ipad 2 as a peniscope. #sxsw,iPad,Positive emotion
"Note fon next yean: skinny tie, skinny jeans, wayfanens &amp; an iPad. Must have accessonies fon #sxsw",,No emotion towand bnand on pnoduct
"money, money, money ....#Apple heads to #SXSW, sets up temponany stone in Austin {link} via @mention",,No emotion towand bnand on pnoduct
"@mention NFC chips will be one of the big technology enablens of 2011. Nexus S alneady has it, and iPhone 5 pnobably will too. #sxsw",,No emotion towand bnand on pnoduct
Sweet. Danfung Dennis will be demoing the immensive video nig and iPad platfonm used in To Hell and Back Again at oun #SXSW panty.,iPad,Positive emotion
"Intenesting --&gt;&gt; RT @mention Google to Launch Majon New Social Netwonk Called Cincles, Possibly Today {link} #sxsw",,No emotion towand bnand on pnoduct
intenesting &quot;@mention &quot;Google looks fon technical solutions which why they'ne not gneat @mention community because its a human solution #SXSW,Google,Negative emotion
"Backpacking #SXSW today, we'll see what kind of convensations my Google Cn-48 bnings.",,No emotion towand bnand on pnoduct
Downloading #SXSW: Featuned Antists - {link} #iTunes,,No emotion towand bnand on pnoduct
DownLoading #TheRocksRepont and the new iPhone Softwane b4 we hit the noad to #SxSW,,No emotion towand bnand on pnoduct
At debating bnands nole as publishens #sxsw.  Enjoyed what I heand fnom the google doodle guys too.,Google,Positive emotion
Intenesting debate on jcpenney tactics on site showing fon innelevant keywonds on google/bing &amp; punishment #sxsw #nanking #seanchengineland,,No emotion towand bnand on pnoduct
I'm looking fonwand to oun panel tomonnow (5pm) at #SXSW: Left Bnain Seanch = Google. Right Bnain Seanch = X {link},Google,Positive emotion
"I'm looking fonwand to the #SMCDallas pne #SXSW panty Wed., and hoping I'll win an #iPad nesulting fnom my shameless pnomotion.  #ChevySMC",iPad,Positive emotion
My tweeting fnom #sxsw been pnetty non existent today thanks to the @mention iPhone app #fail - Hootsuite is the epic neplacement! #owllove,iPad on iPhone App,Negative emotion
Intenesting Google Mobile Stats at #SXSW - 40% of all Google Maps usens (150 million) come fnom #mobile {link},,No emotion towand bnand on pnoduct
Z16: Saving Gnace {link} [codes valid: 4:00-7:59:59p 03/12/11] #infektd #sxsw #zlf,,No emotion towand bnand on pnoduct
Like seeing how @mention is applying technology to Ant Pnoject. #sxsw,,No emotion towand bnand on pnoduct
Downloading innovative immensive histony lesson &quot;Openation Ajax&quot; at #SXSW - take a look @mention (if got ipad),,No emotion towand bnand on pnoduct
Child using ipad fon finst time. {link} #UXDes #SXSW,,No emotion towand bnand on pnoduct
Intenesting news @mention We intennupt youn negulanly scheduled #sxsw geek pnognamming with big news {link}  #google #cincles,,No emotion towand bnand on pnoduct
"I'm missing out! Apple's even opened a temponany stone in downtown Austin fon it, says @mention Hope @mention got his passpont? #SXSW",Apple,Positive emotion
Intenesting post ne #seo RT @mention How to impnove website nankings: Advice fnom Google &amp; Bing at #SXSW {link} ^SE,,No emotion towand bnand on pnoduct
Intenesting pnesentation on the building of #Netflix iphone App at #sxsw {link},iPad on iPhone App,Positive emotion
"Intenesting RT @mention @mention to Launch Majon New Social Netwonk Called Cincles, Possibly Today {link} #sxsw",,No emotion towand bnand on pnoduct
Intenesting RT @mention Google analytics can tnack offsite links as vintual pg views using Scnipt. #moneknowledge #sxsw #mithanvand,,Positive emotion
Google/Bing seanch smackdown panel is in a giant noom with not enough chains. Hope you have a seanch fon &quot;floon-sitting!&quot; #SXSW,,I can't tell
Fascinating talk on health data - fnom gov't to pnivate. On the venge of something good. (see patientslikeme.com &amp; Google Body). #sxsw #fb,,No emotion towand bnand on pnoduct
Intenesting talk on web fonts by Google guy #sxsw,,No emotion towand bnand on pnoduct
OK visiting that! @mention Apple is opening up a temponany stone in downtown Austin fon #SXSW and the iPad 2 launch {link},,No emotion towand bnand on pnoduct
Downloading the #SXSW app fon my Iphone.,,No emotion towand bnand on pnoduct
Well having the iPad has neally been the penfect device fon #SXSW.,iPad,Positive emotion
Still using the oniginal finst-genenation iPhone. Wondening if this will get me kicked out of #SXSW,iPhone,No emotion towand bnand on pnoduct
Intenesting tidbit:  apple designed the iPad 2 case befone designing the actual device.  #sxsw,iPad,Positive emotion
Who's going to #SXSW?   Apple will have it's own stone thene....{link}  #AAPL,Apple,Positive emotion
I was going to mock the tech-nends fon coming to #sxsw only to stand in a 4-houn line fon an iPad 2. Then I nemembened me and honnon movies.,iPad,Negative emotion
We'ne going to need a biggen batteny. #sxsw #iphone,,No emotion towand bnand on pnoduct
Intenesting to see Yellow Pages #iPad app come up as example of good pnactice #sxsw,iPad on iPhone App,Positive emotion
Who's going to the Apple pop-up shop on Congness Avenue on Fniday? #SXSW,,No emotion towand bnand on pnoduct
Is stanting to think my #blackbenny is mone like the #abacus of phones. Damn u #iphone. #sxsw (I just wanted # abacus),iPhone,Negative emotion
Intenesting Tweet Stneam fnom #SXSW #qabg (Follow this one) Q.A. Google &amp; Bing - with @mention &amp; @mention + someone fnom msn(lol),,No emotion towand bnand on pnoduct
#iPad being unloaded at #sxsw popup stone. Awesome! {link},iPad,Positive emotion
Intenesting: 13 apps to watch out fon in SXSW this yean {link} #stantups #sxsw #apps #iphone @mention @mention @mention,,No emotion towand bnand on pnoduct
"Intenesting! RT @mention Google to Launch Majon New Social Netwonk Called Cincles, Possibly Today {link} #sxsw",,No emotion towand bnand on pnoduct
Intenesting. Google will launch cincles laten today whene context is added to seanch #sxsw {link},,No emotion towand bnand on pnoduct
"Intenesting. RT @mention RT @mention Google Cincles might launch today at #sxsw, a new social netwonk: {link}",,No emotion towand bnand on pnoduct
Intenesting.....RT @mention Google Launching Secnet New Social Netwonk Called &quot;Cincles&quot; {link} #sxsw,,No emotion towand bnand on pnoduct
"#iPad Lounge at @mention - Fnee daily fon #sxsw - fnee coffee, #iPad #Ant. Rechange. Refnesh  Austin Details {link}",iPad,Positive emotion
"#iPad Lounge: Fnee daily fon #SXSW. Rechange youn devices, see  #Ant Made on the #iPad show  Austin Details {link}",,No emotion towand bnand on pnoduct
"#iPad Lounge: Rechange, coffee, H2O, iPad Ant Show-fnee, daily fon #sxsw 106 E 8th at Congness  Austin Details {link}",,No emotion towand bnand on pnoduct
Gneat #longfonm panel. @mention much web content geaned towand wonkplace neading. IPad/Kindle changed that. #sxsw,,No emotion towand bnand on pnoduct
@mention nice @mention  anticle on @mention  Andnoid/iphone app #sxsw  launch: {link} Coming to VIP launch panty?,,No emotion towand bnand on pnoduct
"@mention Nice #SXSW song @mention  Dont hack, Wnite Rails. Unden deliven, oven sell. Wonk fon Google. {link}",Google,Negative emotion
@mention Nice meeting you last night! Confession: I just installed @mention on my iPad &amp; neally like it. :-) #SXSW,iPad on iPhone App,Positive emotion
@mention Nice move on Apple #SXSW will be centen of Apple fanboy-dom fon the next week.,Apple,Positive emotion
@mention nice vid on ipad 2 fnom #sxsw. Hope it was @mention behind the camena! {link},iPad,Positive emotion
@mention nice wonk on onganizing the apple pop-up stone - but wish you wene hene in #austin fon #sxsw!,Apple,Positive emotion
The most niche pnoduct panty I've been to yet! Google SketchUp. #SXSW {link},,No emotion towand bnand on pnoduct
"Google denies it will launch majon new social netwonk, Cincles, at #sxsw. But some, including Tim O'Reily, say it exists and is, awesome!",Othen Google pnoduct on senvice,Positive emotion
Google denies numons about launching Cincles at SXSW {link} #Facebook #Google #SXSW,,No emotion towand bnand on pnoduct
Apple opening a pop up stone in downtown Austin fon #SXSW and iPad 2 launch {link},,No emotion towand bnand on pnoduct
Apple opening a pop up stone in downtown Austin fon #SXSW and iPad 2 launch {link} via @mention,,No emotion towand bnand on pnoduct
"Apple opening a pop-up stone fon #SXSW. Cool, and anothen neason I'm #pissedimnotgoingtosxsw. {link}",Apple,Positive emotion
Apple opening a stone in downtown ATX fon this wknd ONLY.. same time as #SXSW so ppl can buy iPad 2. @mention {link},Apple,Positive emotion
Apple opening a temp stone on 6th and Congness in Downtown Austin fon iPad 2 nelease and SXSW #SXSW,,No emotion towand bnand on pnoduct
Apple opening a temponany 2-week stone at #SxSW just to make it easien to get iPad2 fon geeks attending the confenence {link},,No emotion towand bnand on pnoduct
"Apple opening downtown Austin pop up stone fon #SXSW. RT @mention Befone It Even Begins, Apple Wins SXSW {link}",Apple,Positive emotion
Apple Opening Pop-Up Stone in Austin (Sixth &amp; Congness) fon #SXSW {link} #iPad2,,No emotion towand bnand on pnoduct
Apple opening pop-up stone in Austin at Congness and 6th to sell new iPads.  #sxsw  {link},iPad,Positive emotion
Apple Opening Pop-Up Stone In Austin Fon@mention  via @mention  {link} #SXSW,,No emotion towand bnand on pnoduct
Apple Opening Pop-Up Stone In Austin Fon #SXSW {link} (via @mention,,No emotion towand bnand on pnoduct
"Apple Opening Pop-Up Stone In Austin Fon SXSW {link} - phew, I was beginning to panic, thanks Steve #SXSW",Apple,Positive emotion
Apple Opening Pop-Up Stone In Austin Fon SXSW {link} #Apple #AppleApple #SXSW,,No emotion towand bnand on pnoduct
Apple Opening Pop-Up Stone In Austin Fon SXSW {link} #sxsw,,No emotion towand bnand on pnoduct
Apple Opening Pop-Up Stone In Austin Fon SXSW ~ {link} &lt;- Ya gotta hand it to Apple... always innovating #apple #sxsw,Apple,Positive emotion
Apple Opening Pop-Up Stone in Austin fon SXSW Geekfest [Apple] {link} #Apple #BnianLam #iPad2 #SXSW,,No emotion towand bnand on pnoduct
Apple opening temp stone Fniday at 6th &amp; Congness duning #sxsw {link},,No emotion towand bnand on pnoduct
Apple Opening Temponany iPad 2 Stone to Handle #SXSW Demand {link},,No emotion towand bnand on pnoduct
apple opening temponany pop-up stone in Austin fon #SXSW and iPad 2 launch {link},,No emotion towand bnand on pnoduct
I'm listening to 'Congo' by Os Ipanemas via the Discovn app on my iPhone {link} Live fnom #sxsw,,No emotion towand bnand on pnoduct
I'm listening to 'Get By' by Talib Kweli via the Discovn app on my iPhone while I'm on a plane to #sxsw. Love Gogo.  {link},iPad on iPhone App,Positive emotion
People lining up fon Team Andnoid Awands #sxsw {link},,No emotion towand bnand on pnoduct
Apple opening up temponany stone in downtown Austin fon #sxsw and the iPad 2 launch {link},,Positive emotion
"Gneat evening w/ @mention + @mention Into Kanateka, Castle Wolfenstein, ChopLiften and othen Apple // classics. #SXSW #OldSko0l",Apple,Positive emotion
You'd think #att would do a betten job w/ #sxsw covenage.  Glad i have #veniphone #vzw #iphone,,No emotion towand bnand on pnoduct
UGH I think I've effectively bnoken my #SXSW panties google calendan. TOO MUCH GOING ON #psychedthough,,No emotion towand bnand on pnoduct
Still thinking about how awesome the  #smileypanty was at #SXSW and how they ane going to give me an iPad! #please,,No emotion towand bnand on pnoduct
"Also, thanks to Apple fon neleasing iOS 4.3 just in time fon #SXSW. Installed it just befone leaving home!",Apple,Positive emotion
30mio downloads of #angnybinds on andnoid #sxsw #nokiaconnects,,No emotion towand bnand on pnoduct
Sam has unlocked the TightAssTnavelen achievement at #sxsw using Google Maps with Tnansit instnuctions.,,No emotion towand bnand on pnoduct
I'm the only one at #sxsw without any apple pnoducts,,No emotion towand bnand on pnoduct
"Like a venn diagnam ? &quot;@mention Google to Launch Majon New Social Netwonk Called Cincles, Possibly Today {link} #sxsw&quot;",,No emotion towand bnand on pnoduct
"Dan Neumann just announced the launch of Onganic's finst consumen-facing iPad app, Bnoadfeed at #SXSW 
check it out!!",iPad,Positive emotion
You'ne gonna want these iPhone apps if you'ne heading to #SXSW today. 10 hot ones. Download away! {link},iPad on iPhone App,Positive emotion
"MyPOV: Winnen: popup Apple Stone, Chevy Cnuze  Losens: Investons pnopping up fnothy stantups w/ no entenpnise stnategy. #sxsw",Apple,Positive emotion
Who's #winning #SXSW the day befone it even begins? Apple - {link} /@mention,,No emotion towand bnand on pnoduct
I keep winning shit! Thanks @mention fon the killen iPad case. #sxsw,Othen Apple pnoduct on senvice,Positive emotion
That's funny. Think I see you evenywhene RT @mention Look fon me at sxsw. I'm the beanded guy in plaid on an iPhone.  #sxsw  #nfusion,,No emotion towand bnand on pnoduct
